Permit #,Status,Permit Type,Permit SubType,Permit Sub Type Description,Date Entered,Date Issued,Parcel,Business Name,Business Owner,Address,City,State,Zip,Council District,Census Tract,Mapped Location
19-26368,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/21/2019,01/09/2020,10801007700,HOLIDAY INN EXPRESS NASHVILLE AIRPORT,,1111  AIRPORT CENTER DR,NASHVILLE,TN,37214.00000,15,37015502,"1111 AIRPORT CENTER DR
NASHVILLE, TN 37214
(36.143947, -86.66367)"
10-16709,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,08/23/2010,09/09/2010,09503010500,Dollar General Store #6680,"Dolgencorp, LLC",2403  Lebanon PIKE,Nashville,TN,37214.00000,15,37015100,"2403 Lebanon PIKE
Nashville, TN 37214
(36.169075, -86.68233)"
19-26170,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,07/25/2019,09/20/2019,06908000800,JERRY'S CITGO,,3900  CLARKSVILLE PIKE,NASHVILLE,TN,37218.00000,1,37012801,"3900 CLARKSVILLE PIKE
NASHVILLE, TN 37218
(36.207819, -86.839746)"
19-26380,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,12/02/2019,01/09/2020,12010008400,R & S MARKET,,1343  MURFREESBORO PIKE,NASHVILLE,TN,37217.00000,13,37015700,"1343 MURFREESBORO PIKE
NASHVILLE, TN 37217
(36.115025, -86.69406)"
20-26426,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/14/2020,06/03/2020,07210001400,THE BOWERY VAULT,,2905C  GALLATIN PIKE,NASHVILLE,TN,37216.00000,5,37011400,"2905C GALLATIN PIKE
NASHVILLE, TN 37216
(36.202679, -86.73897)"
19-26141,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,07/10/2019,10/01/2019,08108041400,THE LOCAL DISTRO,Will Radford,614  GARFIELD ST,NASHVILLE,TN,37208.00000,19,37019400,"614 GARFIELD ST
NASHVILLE, TN 37208
(36.181208, -86.794852)"
19-25933,ISSUED,BBPERMIT,WHOLESALES,"BB - Wholesale, Distributor",03/12/2019,09/26/2019,10602000600,VARIOUS ARTISTS BREWING COMPANY,Jeffrey Joel Bergman 51%,1011  ELM HILL PIKE,NASHVILLE,TN,37210.00000,19,37019600,"1011 ELM HILL PIKE
NASHVILLE, TN 37210
(36.14398, -86.736393)"
19-26172,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,07/25/2019,09/26/2019,09305019900,PUBLIX #1680,,1010  DR MARTIN L KING JR BLVD,NASHVILLE,TN,37203.00000,19,37019400,"1010 DR MARTIN L KING JR BLVD
NASHVILLE, TN 37203"
19-26225,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,08/27/2019,09/26/2019,09313006800,LOS TORITOS MEXICAN RESTAURANT MIDTOWN GULCH,,1302  DIVISION ST,NASHVILLE,TN,37203.00000,19,37019500,"1302 DIVISION ST
NASHVILLE, TN 37203
(36.151437, -86.787484)"
19-26213,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,08/22/2019,09/26/2019,06115031900,KWIKSAK #626,,3710  GALLATIN PIKE,NASHVILLE,TN,37216.00000,7,37011200,"3710 GALLATIN PIKE
NASHVILLE, TN 37216
(36.214445, -86.730507)"
19-26152,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/17/2019,09/26/2019,12800018700,AMC BELLEVUE 12,,8125  SAWYER BROWN RD,NASHVILLE,TN,37221.00000,22,37018401,"8125 SAWYER BROWN RD
NASHVILLE, TN 37221
(36.080013, -86.944482)"
19-25942,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,03/15/2019,01/10/2020,07206021900,LIVING WATERS BREWING COMPANY LLC,Ryan McCay,1056 E TRINITY LN  101,NASHVILLE,TN,37216.00000,5,37011400,"1056 E TRINITY LN 101
NASHVILLE, TN 37216
(36.203911, -86.741344)"
19-26282,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/25/2019,01/10/2020,08309015800,CINCO DE MAYO MEXICAN RESTAURANT,,1313  WOODLAND ST,NASHVILLE,TN,37206.00000,6,37019200,"1313 WOODLAND ST
NASHVILLE, TN 37206
(36.177126, -86.745928)"
19-26386,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/04/2019,01/10/2020,07210020100,JUICY SEAFOOD,,2616  GALLATIN PIKE,NASHVILLE,TN,37216.00000,7,37011400,"2616 GALLATIN PIKE
NASHVILLE, TN 37216
(36.197969, -86.741504)"
19-26337,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/28/2019,01/13/2020,09302318900,DOUBLETREE BY HILTON HOTEL NASHVILLE DOWNTOWN,"Spire Concession Holdco I, LLC",315  4TH AVE N,NASHVILLE,TN,37219.00000,19,37019500,"315 4TH AVE N
NASHVILLE, TN 37219
(36.165393, -86.780063)"
19-26218,ISSUED,BBPERMIT,SPECIAL,BB - Special Events,08/26/2019,09/13/2019,08213036600,GRAND TASTE,Gordon Richard,600  JAMES ROBERTSON PKWY,NASHVILLE,TN,37219.00000,19,37019400,"600 JAMES ROBERTSON PKWY
NASHVILLE, TN 37219
(36.168308, -86.785851)"
17-25070,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/30/2017,07/06/2017,09115037800,MIEL RESTAURANT,,343  53RD AVE N,NASHVILLE,TN,37209.00000,24,37013400,"343 53RD AVE N
NASHVILLE, TN 37209
(36.151327, -86.851113)"
20-26972,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/11/2020,05/14/2021,11603000500,AGAVES MEXICAN RESTAURANT,,4550  HARDING PIKE,NASHVILLE,TN,37205.00000,24,37018000,"4550 HARDING PIKE
NASHVILLE, TN 37205
(36.123953, -86.849031)"
19-26333,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,10/23/2019,01/17/2020,05300001800,OLD HICKORY PIGGLY WIGGLY,,1439  ROBINSON RD,OLD HICKORY,TN,37138.00000,11,37010501,"1439 ROBINSON RD
OLD HICKORY, TN 37138
(36.255815, -86.653957)"
19-26388,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,12/05/2019,01/22/2020,01400001000,WILLIE'S MEMORIES BAR,,6597  CLARKSVILLE PIKE,JOELTON,TN,37080.00000,1,37010104,"6597 CLARKSVILLE PIKE
JOELTON, TN 37080
(36.325268, -86.915144)"
19-26210,ISSUED,BBPERMIT,SPECIAL,BB - Special Events,08/21/2019,09/27/2019,11815001000,NASHVILLE FILM FESTIVAL,,719  THOMPSON LN,NASHVILLE,TN,37204.00000,16,37980200,"719 THOMPSON LN
NASHVILLE, TN 37204
(36.111899, -86.763171)"
97-14843,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/18/1997,12/04/1997,11802018100,Kroger Food & Drug #511,Kroger Limited Partnership,2615  Franklin PIKE,Nashville,TN,37204.00000,17,37017100,"2615 Franklin PIKE
Nashville, TN 37204
(36.120423, -86.775117)"
19-25969,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/09/2019,09/27/2019,13413024500,LA DELICIA MEXICAN RESTAURANT,La Delicia Mexican Restaurant,4930  LINBAR DR  103,NASHVILLE,TN,37211.00000,30,37019003,"4930 LINBAR DR 103
NASHVILLE, TN 37211
(36.083022, -86.702561)"
19-25969,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/09/2019,09/27/2019,13413024500,LA DELICIA MEXICAN RESTAURANT,La Delicia Mexican Restaurant,4930  LINBAR DR  102,NASHVILLE,TN,37211.00000,30,37019003,"4930 LINBAR DR 102
NASHVILLE, TN 37211
(36.083022, -86.702561)"
15-17266,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,05/29/2015,06/25/2015,14200026700,Kroger #527,Kroger Limited Partnership,7087  Highway 70  S,Nashville,TN,37221.00000,34,37018404,"7087 Highway 70 S
Nashville, TN 37221
(36.074632, -86.920345)"
06-16120,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/22/2005,04/11/2006,07202014800,Kroger L-884,Kroger Limited Partnership,3410  Gallatin PIKE,Nashville,TN,37216.00000,7,37011200,"3410 Gallatin PIKE
Nashville, TN 37216
(36.210671, -86.733238)"
11-16821,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,08/10/2011,08/25/2011,08600008900,Kroger L-518,Kroger Limited Partnership,5544  Old Hickory BLVD,Hermitage,TN,37076.00000,12,37015623,"5544 Old Hickory BLVD
Hermitage, TN 37076
(36.180757, -86.606467)"
97-14828,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/18/1997,12/04/1997,04216010000,Kroger Food & Drug #514,Kroger Limited Partnership,200  Gallatin PIKE S,Nashville,TN,37115.00000,,,"200 Gallatin PIKE S
Nashville, TN 37115
(36.261304, -86.712523)"
19-26169,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,07/24/2019,09/30/2019,10801005900,DRURY INN & SUITES NASHVILLE AIRPORT,".94, 12.18, 48.94",555  DONELSON PIKE,NASHVILLE,TN,37214.00000,15,37015502,"555 DONELSON PIKE
NASHVILLE, TN 37214
(36.145158, -86.666724)"
19-26258,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/11/2019,10/01/2019,13400016500,R&K Market,"DIPAKKUMAR PATEL, SIDDHARTH D PATEL",351  HARDING PL,NASHVILLE,TN,37211.00000,28,37015613,"351 HARDING PL
NASHVILLE, TN 37211
(36.086858, -86.696356)"
19-26070,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/30/2019,10/01/2019,08209005400,SAMURAI KITCHEN,,1318  6TH AVE N,NASHVILLE,TN,37208.00000,19,37019400,"1318 6TH AVE N
NASHVILLE, TN 37208
(36.177498, -86.791023)"
20-26473,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,02/05/2020,03/25/2020,09503012200,TNFOLD LLC,,2408  LEBANON PIKE,NASHVILLE,TN,37214.00000,15,37015200,"2408 LEBANON PIKE
NASHVILLE, TN 37214
(36.169127, -86.68185)"
19-26219,ISSUED,BBPERMIT,SPECIAL,BB - Special Events,08/26/2019,09/13/2019,093064B00100CO,HARVEST NIGHT,Tommy Lynch,121  4TH AVE S,NASHVILLE,TN,37201.00000,19,37019500,"121 4TH AVE S
NASHVILLE, TN 37201
(36.160067, -86.776551)"
19-26220,ISSUED,BBPERMIT,SPECIAL,BB - Special Events,08/26/2019,09/13/2019,093064B00100CO,GOSPEL BRUNCH,Tommy Lynch,121  4TH AVE S,NASHVILLE,TN,37201.00000,19,37019500,"121 4TH AVE S
NASHVILLE, TN 37201
(36.160067, -86.776551)"
19-26202,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/14/2019,10/10/2019,10516025500,SOUTH SIDE PUB & Kitchen,,2190A  NOLENSVILLE PIKE,NASHVILLE,TN,37211.00000,17,37017200,"2190A NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.127134, -86.753267)"
19-26332,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/23/2019,01/10/2020,06200023300,MUSIC CITY BAR AND GRILL,Rodney Collins,2416  MUSIC VALLEY DR,NASHVILLE,TN,37214.00000,15,37015300,"2416 MUSIC VALLEY DR
NASHVILLE, TN 37214
(36.218524, -86.695398)"
19-26365,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,11/19/2019,03/06/2020,118010P10400CO,THE MEAT ROOM,,2905  12TH AVE S 104,NASHVILLE,TN,37204.00000,18,37016900,"2905 12TH AVE S 104
NASHVILLE, TN 37204
(36.121465, -86.79036)"
19-26250,ISSUED,BBPERMIT,SPECIAL,BB - Special Events,09/06/2019,10/03/2019,10404000100,VU REUNION WEEKEND,"Ruby Z. Shellaway, Susan R. Wente",2205  WEST END AVE,NASHVILLE,TN,37212.00000,18,37016500,"2205 WEST END AVE
NASHVILLE, TN 37212
(36.149018, -86.804142)"
19-26251,ISSUED,BBPERMIT,SPECIAL,BB - Special Events,09/06/2019,10/03/2019,10404000100,VANDERBILT LAW SCHOOL REUNION,"Ruby Z. Shellaway, Susan R. Wente",131  21ST AVE S,NASHVILLE,TN,37212.00000,18,37016500,"131 21ST AVE S
NASHVILLE, TN 37212
(36.148459, -86.799737)"
20-26452,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/24/2020,02/18/2020,09209016300,THAI NI YOM,Weerayut Lapanunt,3820  CHARLOTTE AVE  131,NASHVILLE,TN,37209.00000,24,37013500,"3820 CHARLOTTE AVE 131
NASHVILLE, TN 37209
(36.152527, -86.832501)"
19-26359,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,11/12/2019,01/22/2020,08309019300,NOBLES,,974  MAIN ST,NASHVILLE,TN,37206.00000,6,37019200,"974 MAIN ST
NASHVILLE, TN 37206
(36.177925, -86.752119)"
21-27105,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/04/2021,05/14/2021,09208031500,7-ELEVEN 41052H,DAVID SELTZER,1401  CHARLOTTE AVE,NASHVILLE,TN,37203.00000,19,37014400,"1401 CHARLOTTE AVE
NASHVILLE, TN 37203
(36.160524, -86.794238)"
19-26145,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/12/2019,08/29/2019,082090Q00100CO,"312 PIZZA COMPANY, LLC",,371  MONROE ST,NASHVILLE,TN,37208.00000,19,37019400,"371 MONROE ST
NASHVILLE, TN 37208
(36.177203, -86.787912)"
19-26312,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/10/2019,01/22/2020,18600002600,TITOS MEXICAN RESTAURANT,Jose Mata,3  BURKITT COMMONS AVE  315,NOLENSVILLE,TN,37135.00000,31,37019114,"3 BURKITT COMMONS AVE 315
NOLENSVILLE, TN 37135"
19-25946,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/19/2019,07/26/2019,08215021900,TRAVELCENTERS OF AMERICA,,111 N 1ST ST,NASHVILLE,TN,37213.00000,5,37019300,"111 N 1ST ST
NASHVILLE, TN 37213
(36.171019, -86.773247)"
21-27103,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/04/2021,05/14/2021,06004011100,7-ELEVEN 41042H,DAVID SELTZER,3144  DICKERSON PIKE,NASHVILLE,TN,37207.00000,2,37011001,"3144 DICKERSON PIKE
NASHVILLE, TN 37207
(36.232694, -86.75872)"
19-26284,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/25/2019,06/11/2020,09309008300,PINS MECHANICAL COMPANY,,1102  GRUNDY ST,NASHVILLE,TN,37203.00000,19,37019500,"1102 GRUNDY ST
NASHVILLE, TN 37203
(36.158359, -86.787847)"
19-26375,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,11/25/2019,01/23/2020,09310048900,CAMBRIA NASHVILLE DOWNTOWN,,118  8TH AVE S,NASHVILLE,TN,37203.00000,19,37019500,"118 8TH AVE S
NASHVILLE, TN 37203
(36.157572, -86.781274)"
20-26410,ISSUED,BBPERMIT,SPECIAL,BB - Special Events,01/02/2020,01/23/2020,10408010800,"THE BELCOURT THEATRE, INC",Stephanie Silverman,2102  BELCOURT AVE,NASHVILLE,TN,37212.00000,18,37016800,"2102 BELCOURT AVE
NASHVILLE, TN 37212
(36.136708, -86.801639)"
19-26340,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,10/29/2019,01/23/2020,06008001900,FAMILY DOLLAR STORE # 22627,,3049  DICKERSON PIKE,NASHVILLE,TN,37207.00000,8,37011001,"3049 DICKERSON PIKE
NASHVILLE, TN 37207
(36.228912, -86.759345)"
20-26412,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/03/2020,01/23/2020,05104006500,Class Axe,,934  MADISON SQ,MADISON,TN,37115.00000,8,37010701,"934 MADISON SQ
MADISON, TN 37115
(36.255705, -86.715856)"
19-26402,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,12/18/2019,01/23/2020,16104018000,ZACKS EXPRESS MART/PHILLIPS 66,,5101  NOLENSVILLE PIKE,NASHVILLE,TN,37211.00000,27,37019105,"5101 NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.058455, -86.716237)"
19-26296,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/02/2019,01/24/2020,18100023900,LOS PORTALES MEXICAN RESTAURANT,,6448  NOLENSVILLE PIKE,ANTIOCH,TN,37013.00000,31,37019114,"6448 NOLENSVILLE PIKE
ANTIOCH, TN 37013
(36.009522, -86.701677)"
20-26729,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,04/01/2020,06/05/2020,13302025000,WOODBINE FRESH MARKET,HAFIZ YAFAI,3302  NOLENSVILLE PIKE,NASHVILLE,TN,37211.00000,16,37017500,"3302 NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.101283, -86.740316)"
19-26187,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,08/05/2019,01/24/2020,183050B00100CO,SMOKE AND BREW,,3809  OCTOBER WOODS DR  101,ANTIOCH,TN,37013.00000,33,37019117,"3809 OCTOBER WOODS DR 101
ANTIOCH, TN 37013"
19-26346,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/05/2019,01/30/2020,07115048800,Coneheads and Plane Jane,Marcus L. Buggs,1315  DICKERSON PIKE,NASHVILLE,TN,37207.00000,5,37011300,"1315 DICKERSON PIKE
NASHVILLE, TN 37207
(36.195548, -86.772099)"
19-26256,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/10/2019,01/31/2020,13500024900,LA VILLA MEXICAN GRILL AND SEAFOOD,,2256  MURFREESBORO PIKE,NASHVILLE,TN,37217.00000,29,37015612,"2256 MURFREESBORO PIKE
NASHVILLE, TN 37217
(36.088421, -86.649583)"
20-26761,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/29/2020,06/11/2020,10713013100,THE JUNCTION PUB & GRILL,Sekvan B. Mohammed,1108  MURFREESBORO PIKE,NASHVILLE,TN,37217.00000,13,37015802,"1108 MURFREESBORO PIKE
NASHVILLE, TN 37217
(36.126041, -86.710145)"
19-26397,ISSUED,BBPERMIT,WHOLESALES,"BB - Wholesale, Distributor",12/12/2019,06/11/2020,06000002400,"LIPMAN BROTHERS, LLC","Ernest Berry Holt 24.5% of RSL Holdings, Inc., Robert S. Lipman 51% of RSL Holdings, Inc.",2815  BRICK CHURCH PIKE,NASHVILLE,TN,37207.00000,2,37012701,"2815 BRICK CHURCH PIKE
NASHVILLE, TN 37207
(36.217859, -86.781764)"
19-26372,ISSUED,BBPERMIT,SPECIAL,BB - Special Events,11/22/2019,02/04/2020,13300000400,Zoo Run Run,Rick Schwartz,3777  NOLENSVILLE PIKE,NASHVILLE,TN,37211.00000,26,37018901,"3777 NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.091149, -86.734904)"
21-27139,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/24/2021,05/14/2021,11714006400,7-ELEVEN 41069H,David Seltzer,3815  HILLSBORO PIKE,NASHVILLE,TN,37215.00000,25,37017901,"3815 HILLSBORO PIKE
NASHVILLE, TN 37215
(36.106175, -86.813651)"
20-26758,ISSUED,BBPERMIT,WHOLESALES,"BB - Wholesale, Distributor",04/28/2020,06/11/2020,07113000300,DET DISTRIBUTING COMPANY,Det Distributing Company,245D  GREAT CIRCLE RD,NASHVILLE,TN,37228.00000,2,37013700,"245D GREAT CIRCLE RD
NASHVILLE, TN 37228
(36.196051, -86.792499)"
20-26768,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,05/08/2020,06/11/2020,14900016500,LEWIS MARKET LLC,,2723A  MURFREESBORO PIKE,ANTIOCH,TN,37013.00000,32,37015629,"2723A MURFREESBORO PIKE
ANTIOCH, TN 37013
(36.07009, -86.634171)"
19-26257,ISSUED,BBPERMIT,SPECIAL,BB - Special Events,09/10/2019,10/04/2019,09301008100,SOUTHERN FESTIVAL OF BOOKS,,301  6TH AVE N,NASHVILLE,TN,37219.00000,19,37019500,"301 6TH AVE N
NASHVILLE, TN 37219
(36.164663, -86.782752)"
20-26474,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,02/06/2020,06/11/2020,09216025600,CHEATER'S BEER BARN,,1911  DIVISION ST,NASHVILLE,TN,37203.00000,19,37019500,"1911 DIVISION ST
NASHVILLE, TN 37203
(36.149826, -86.796857)"
19-26083,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/10/2019,10/07/2019,10509047100,CAFE MAKAI,,1210  WEDGEWOOD AVE,NASHVILLE,TN,37212.00000,17,37016300,"1210 WEDGEWOOD AVE
NASHVILLE, TN 37212
(36.13616, -86.789553)"
20-26899,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/31/2020,10/08/2020,14908005800,LARRY'S RESTAURANT AND LOUNGE,,2572A  MURFREESBORO PIKE,NASHVILLE,TN,37217.00000,29,37015612,"2572A MURFREESBORO PIKE
NASHVILLE, TN 37217
(36.075475, -86.639556)"
20-26852,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/12/2020,10/08/2020,04300002100,RIVERSIDE GOLF LINKS,Terry C Reeves - 100%,640  OLD HICKORY BLVD,OLD HICKORY,TN,37138.00000,11,37010501,"640 OLD HICKORY BLVD
OLD HICKORY, TN 37138
(36.2669, -86.67025)"
20-26749,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,04/21/2020,10/08/2020,09302000600,TOWNEPLACE SUITES NASHVILLE DOWNTOWN,,310  GAY ST,NASHVILLE,TN,37201.00000,19,37019500,"310 GAY ST
NASHVILLE, TN 37201
(36.168705, -86.780939)"
21-27136,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/24/2021,05/14/2021,10406007300,7-ELEVEN 41054H,David Seltzer,3400  WEST END AVE,NASHVILLE,TN,37203.00000,21,37016800,"3400 WEST END AVE
NASHVILLE, TN 37203
(36.138914, -86.819581)"
19-26032,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/16/2019,10/10/2019,07900009400,OZ ARTS NASHVILLE,,6172  COCKRILL BEND CIR,NASHVILLE,TN,37209.00000,20,37013000,"6172 COCKRILL BEND CIR
NASHVILLE, TN 37209
(36.179653, -86.891933)"
18-25743,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/23/2018,10/10/2019,08305021200,CHOPPER,,1100B  STRATTON AVE,NASHVILLE,TN,37206.00000,6,37012100,"1100B STRATTON AVE
NASHVILLE, TN 37206
(36.182695, -86.748754)"
19-26234,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/29/2019,10/10/2019,09310026000,MARGARITAVILLE HOTEL NASHVILLE,,425  5TH AVE S,NASHVILLE,TN,37203.00000,19,37019500,"425 5TH AVE S
NASHVILLE, TN 37203
(36.155686, -86.775281)"
19-26096,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/20/2019,10/10/2019,13001004700,360 BISTRO,Nick Jacobson 100% Owner,6000  HIGHWAY 100   100,NASHVILLE,TN,37205.00000,23,37018500,"6000 HIGHWAY 100 100
NASHVILLE, TN 37205
(36.097637, -86.872814)"
17-17453,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,02/23/2017,03/16/2017,07500021200,Twice Daily,Tri Star Energy LLC,5010  Old Hickory BLVD,Hermitage,TN,37076.00000,11,37015404,"5010 Old Hickory BLVD
Hermitage, TN 37076
(36.193362, -86.617149)"
19-26204,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/14/2019,10/10/2019,10407052300,Nicoletto's Italian Kitchen,Daniel Nicoletto,2123  BELCOURT AVE,NASHVILLE,TN,37212.00000,18,37016800,"2123 BELCOURT AVE
NASHVILLE, TN 37212
(36.136813, -86.802843)"
19-26094,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/13/2019,02/13/2020,08309000500,VUI'S KITCHEN HUNTERS,,975  MAIN ST  104,NASHVILLE,TN,37206.00000,5,37011900,"975 MAIN ST 104
NASHVILLE, TN 37206
(36.178006, -86.751931)"
19-26331,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/22/2019,02/13/2020,13414003400,THAI PAPAYA RESTAURANT,BOUNYADEJ Q SANANIKONE,321A  HARDING PL,NASHVILLE,TN,37211.00000,28,37015613,"321A HARDING PL
NASHVILLE, TN 37211
(36.087013, -86.693254)"
19-26196,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,08/12/2019,02/13/2020,08309000500,THE PICNIC TAP HUNTERS LLC,Eric Woodard,975  MAIN ST  102,NASHVILLE,TN,37206.00000,5,37011900,"975 MAIN ST 102
NASHVILLE, TN 37206
(36.178006, -86.751931)"
19-26224,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/27/2019,02/13/2020,14800004900,BAR Y BILLAR LOS PAISANO,,2045  ANTIOCH PIKE,ANTIOCH,TN,37013.00000,28,37015627,"2045 ANTIOCH PIKE
ANTIOCH, TN 37013
(36.068906, -86.6837)"
19-26092,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/13/2019,02/13/2020,08309000500,CITIZEN MARKET,,975  MAIN ST  105,NASHVILLE,TN,37206.00000,5,37011900,"975 MAIN ST 105
NASHVILLE, TN 37206
(36.178006, -86.751931)"
19-26267,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,09/18/2019,02/13/2020,03406000200,GREEK STYLE GYRO,,1607  GALLATIN PIKE N,MADISON,TN,37115.00000,10,37010401,"1607 GALLATIN PIKE N
MADISON, TN 37115
(36.293169, -86.702346)"
19-26093,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/13/2019,02/13/2020,08309000500,TACOS AURORA,,975  MAIN ST  103,NASHVILLE,TN,37206.00000,5,37011900,"975 MAIN ST 103
NASHVILLE, TN 37206
(36.178006, -86.751931)"
20-26741,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/15/2020,06/12/2020,09215014000,OSCAR'S TACO SHOP #22,Cesar Ruiz,2323  ELLISTON PL,NASHVILLE,TN,37203.00000,21,37016500,"2323 ELLISTON PL
NASHVILLE, TN 37203
(36.149171, -86.806471)"
20-26433,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,01/16/2020,02/14/2020,09310024200,HYATT HOUSE NASHVILLE DOWNTOWN/SOBRO,,535  5TH AVE S,NASHVILLE,TN,37203.00000,19,37019500,"535 5TH AVE S
NASHVILLE, TN 37203
(36.153941, -86.774162)"
20-26743,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,04/15/2020,06/12/2020,09108028500,SJJ MARKET,Mina Tawadrous,925  40TH AVE N,NASHVILLE,TN,37209.00000,21,37013601,"925 40TH AVE N
NASHVILLE, TN 37209
(36.161085, -86.83604)"
20-26434,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/17/2020,02/14/2020,13315014500,PANCA PERUVIAN RESTAURANT,,3915  NOLENSVILLE PIKE,NASHVILLE,TN,37211.00000,26,37018901,"3915 NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.086006, -86.729257)"
20-26887,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/20/2020,10/08/2020,08209005400,SONNY'S PATIO PUB & REFUGE,,1318  6TH AVE N,NASHVILLE,TN,37208.00000,19,37019400,"1318 6TH AVE N
NASHVILLE, TN 37208
(36.177498, -86.791023)"
20-26752,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,04/22/2020,10/08/2020,09302000600,TOWNEPLACE SUITES NASHVILLE DOWNTOWN,,310  GAY ST,NASHVILLE,TN,37201.00000,19,37019500,"310 GAY ST
NASHVILLE, TN 37201
(36.168705, -86.780939)"
