,Permit #,Status,Permit Type,Permit SubType,Permit Sub Type Description,Date Entered,Date Issued,Parcel,Business Name,Address,City,State,Zip,Mapped Location
746,15-00990,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,06/15/2015,08/13/2015,09601000400,Homegrown Taproom & Marketplac,2720  Old Lebanon PIKE  107,Nashville,TN,37214.0,"2720 Old Lebanon PIKE 107
Nashville, TN 37214"
747,16-20368,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/27/2016,10/27/2016,13500042900,Donks,2209  Murfreesboro PIKE,Nashville,TN,37217.0,"2209 Murfreesboro PIKE
Nashville, TN 37217
(36.090078, -86.650587)"
748,94-00186,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,07/30/1993,02/01/1994,RIGHT-OF-WAY,Harpeth Hills Golf Course,2424  Old Hickory BLVD,Nashville,TN,37215.0,"2424 Old Hickory BLVD
Nashville, TN 37215
(36.051455, -86.885699)"
749,18-25761,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/02/2018,03/28/2019,09216000400,HYATT HOUSE NASHVILLE AT VANDERBILT,2100  HAYES ST,NASHVILLE,TN,37203.0,"2100 HAYES ST
NASHVILLE, TN 37203
(36.151443, -86.801941)"
750,18-25419,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/13/2018,04/23/2018,09306000800,PETE & TERRY'S TAVERN,501  BROADWAY,NASHVILLE,TN,37203.0,"501 BROADWAY
NASHVILLE, TN 37203
(36.160427, -86.778611)"
751,08-18791,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/26/2007,01/10/2008,10601010900,Carol Ann's Home Cooking Cafe,407  Murfreesboro PIKE,Nashville,TN,37210.0,"407 Murfreesboro PIKE
Nashville, TN 37210
(36.144265, -86.748719)"
752,15-20160,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/29/2015,08/14/2015,14200026800,Dao Asian Bistro,7075  Highway 70  S,Nashville,TN,37221.0,"7075 Highway 70 S
Nashville, TN 37221
(36.075076, -86.919039)"
753,07-18613,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/07/2006,01/11/2007,09306206900001,The Old Spaghetti Factory,160  2nd AVE N,Nashville,TN,37201.0,"160 2nd AVE N
Nashville, TN 37201
(36.163694, -86.776328)"
754,15-20109,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/30/2015,06/01/2015,09306307100,The Ryman Auditorium,116  5th AVE N,Nashville,TN,37219.0,"116 5th AVE N
Nashville, TN 37219
(36.161357, -86.778991)"
755,94-15667,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/03/1993,02/01/1994,09306002300,Nashville City Club,201  4th AVE,Nashville,TN,37219.0,"201 4th AVE
Nashville, TN 37219
(36.164001, -86.779135)"
756,19-25949,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/25/2019,04/12/2019,16200028900,EVEREST RESTAURANT AND BAR,1309  BELL RD  219,ANTIOCH,TN,37013.0,"1309 BELL RD 219
ANTIOCH, TN 37013
(36.046152, -86.676242)"
757,16-20337,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/11/2016,09/09/2016,11710011200,ETC Restaurant,3790  Bedford AVE,Nashville,TN,37215.0,"3790 Bedford AVE
Nashville, TN 37215"
758,17-25112,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/05/2017,07/05/2017,11801014500,EDLEY'S BAR-B-QUE 12 SOUTH,2706  12TH AVE S,NASHVILLE,TN,37204.0,"2706 12TH AVE S
NASHVILLE, TN 37204
(36.122871, -86.790022)"
759,15-20132,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/15/2015,07/09/2015,08600006000,The Rusty Nail,4054  Andrew Jackson WAY,Hermitage,TN,37076.0,"4054 Andrew Jackson WAY
Hermitage, TN 37076
(36.18614, -86.608052)"
760,17-20460,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/17/2017,06/21/2017,10315004300,Anatolia Turkish Restaurant,48  WHITE BRIDGE PIKE,NASHVILLE,TN,37205.0,"48 WHITE BRIDGE PIKE
NASHVILLE, TN 37205"
761,18-25611,ISSUED,BBPERMIT,SPECIAL,BB - Special Events,07/27/2018,10/02/2018,093064B00100CO,THE CRICHTON GROUP THROW DOWN,121  4TH AVE S,NASHVILLE,TN,37201.0,"121 4TH AVE S
NASHVILLE, TN 37201
(36.160067, -86.776551)"
762,12-19539,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/20/2012,10/11/2012,07300003200,Gaylord Hotel Cheekwood D-E,2800  Opryland DR,Nashville,TN,37214.0,"2800 Opryland DR
Nashville, TN 37214
(36.211694, -86.697639)"
763,10-19068,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/13/2010,07/29/2010,10408011500,Belcourt Taps And Tapas,2117  Belcourt AVE,Nashville,TN,37212.0,"2117 Belcourt AVE
Nashville, TN 37212
(36.13677, -86.802344)"
764,11-00905,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,09/14/2011,09/29/2011,09311018800,Batters Box Bar & Grill,43  Hermitage AVE,Nashville,TN,37210.0,"43 Hermitage AVE
Nashville, TN 37210
(36.156255, -86.767781)"
765,98-17277,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/29/1997,02/12/1998,09306209600,Hard Rock Cafe,100  Broadway,Nashville,TN,37201.0,"100 Broadway
Nashville, TN 37201
(36.162212, -86.774512)"
766,17-25018,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/16/2017,06/01/2017,10408016100,BISCUIT LOVE,2001  BELCOURT AVE,NASHVILLE,TN,37212.0,"2001 BELCOURT AVE
NASHVILLE, TN 37212
(36.136791, -86.799813)"
767,19-25882,ISSUED,BBPERMIT,SPECIAL,BB - Special Events,02/15/2019,03/18/2019,RIGHT-OF-WAY,NASHVILLE HEMP FESTIVAL,1006B  FATHERLAND ST,NASHVILLE,TN,37206.0,"1006B FATHERLAND ST
NASHVILLE, TN 37206
(36.17417, -86.751083)"
768,03-18131,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/01/2003,12/18/2003,07500016500,Famous Dave's,5000  Old Hickory BLVD,Hermitage,TN,37076.0,"5000 Old Hickory BLVD
Hermitage, TN 37076
(36.194988, -86.61887)"
769,13-19681,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/29/2013,02/27/2013,09216020200,Embassy Suites - Vanderbilt,1811  Broadway,Nashville,TN,37203.0,"1811 Broadway
Nashville, TN 37203
(36.151389, -86.796054)"
770,12-19633,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/14/2012,12/06/2012,15512028800,Corner Pub in the Woods,8058  Highway 100,Nashville,TN,37221.0,"8058 Highway 100
Nashville, TN 37221
(36.04489, -86.953818)"
771,12-19594,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/20/2012,10/11/2012,07300003200,Gaylord Hotel Festival Grounds,2800  Opryland DR,Nashville,TN,37214.0,"2800 Opryland DR
Nashville, TN 37214
(36.211694, -86.697639)"
772,16-20247,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/17/2016,03/10/2016,05312020800,Simply Thai,3418  Old Hickory BLVD,Old Hickory,TN,37138.0,"3418 Old Hickory BLVD
Old Hickory, TN 37138
(36.241737, -86.633839)"
773,02-00639,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,11/19/2002,12/05/2002,07509027600,Taqueria Vallarta,4730  Old Hickory BLVD,Old Hickory,TN,37138.0,"4730 Old Hickory BLVD
Old Hickory, TN 37138
(36.203188, -86.621671)"
774,18-25786,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/29/2018,03/28/2019,13315009200,CROCO BEACH SPORTS LOUNGE,330  WELCH RD,NASHVILLE,TN,37211.0,"330 WELCH RD
NASHVILLE, TN 37211
(36.083274, -86.725909)"
775,18-25434,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/22/2018,06/29/2018,16100017100,LA CUCHARITA,15132  OLD HICKORY BLVD,NASHVILLE,TN,37211.0,"15132 OLD HICKORY BLVD
NASHVILLE, TN 37211
(36.045277, -86.717085)"
776,12-19578,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/20/2012,10/11/2012,07300003200,Gaylord Presidential Chamber,2800  Opryland DR,Nashville,TN,37214.0,"2800 Opryland DR
Nashville, TN 37214
(36.211694, -86.697639)"
777,15-20086,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/04/2015,04/15/2015,08309013400,Dukes,1000  Main ST  103,Nashville,TN,37206.0,"1000 Main ST 103
Nashville, TN 37206
(36.178298, -86.751402)"
778,08-00847,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,06/03/2008,06/26/2008,06513013200,The Double E Bar and Grill,4957  Lebanon PIKE,Old Hickory,TN,37138.0,"4957 Lebanon PIKE
Old Hickory, TN 37138
(36.216365, -86.584608)"
779,94-16313,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/03/1993,02/01/1994,10612001400,Wilhagans,318  WILHAGAN RD,NASHVILLE,TN,37217.0,"318 WILHAGAN RD
NASHVILLE, TN 37217
(36.135051, -86.718262)"
780,11-19385,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/21/2011,11/14/2011,03402008900,Thai Phoo Ket II Restaurant,915  Rivergate PKWY,Goodlettsville,TN,37072.0,"915 Rivergate PKWY
Goodlettsville, TN 37072
(36.298363, -86.700038)"
781,12-19441,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/27/2012,04/12/2012,09306404600,Bootleggers Inn,207  Broadway,Nashville,TN,37201.0,"207 Broadway
Nashville, TN 37201
(36.16177, -86.775499)"
782,18-25486,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/24/2018,06/14/2018,12800018700,PDK SOUTHERN KITCHEN & PANTRY,8121  SAWYER BROWN RD  204,NASHVILLE,TN,37221.0,"8121 SAWYER BROWN RD 204
NASHVILLE, TN 37221
(36.080175, -86.94446)"
783,15-20134,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/24/2015,07/09/2015,09306202100,Johnny Cash Museum,119  3rd AVE S,Nashville,TN,37201.0,"119 3rd AVE S
Nashville, TN 37201
(36.160923, -86.775553)"
784,12-00922,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,03/14/2012,07/11/2012,11801011100,Urban Grub Restaurant,2506  12th AVE S,Nashville,TN,37204.0,"2506 12th AVE S
Nashville, TN 37204
(36.125028, -86.789495)"
785,15-20113,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/26/2015,06/11/2015,09713002700,Sals Pizza Restaurant,710  STEWARTS FERRY PIKE,Nashville,TN,37214.0,"710 STEWARTS FERRY PIKE
Nashville, TN 37214
(36.153226, -86.625385)"
786,11-19338,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/21/2011,08/11/2011,13102001601,California Pizza Kitchen,4031  Hillsboro PIKE  901,Nashville,TN,37215.0,"4031 Hillsboro PIKE 901
Nashville, TN 37215
(36.102846, -86.816652)"
787,16-20260,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/13/2016,04/12/2016,09700000000,Papa Turneys Old Fashioned BBQ,3979  Bell RD,Hermitage,TN,37076.0,"3979 Bell RD
Hermitage, TN 37076
(36.165337, -86.60392)"
788,18-25523,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/18/2018,07/12/2018,05302008000,5-AGAVES MEXICAN RESTAURANT INC,1508  ROBINSON RD,OLD HICKORY,TN,37138.0,"1508 ROBINSON RD
OLD HICKORY, TN 37138
(36.255112, -86.652833)"
789,09-19102,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/25/2009,10/08/2009,10713015700,Abyssinia Ethiopian Restaurant,991  Thompson PL,Nashville,TN,37217.0,"991 Thompson PL
Nashville, TN 37217
(36.126866, -86.710232)"
790,12-19540,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/24/2012,10/11/2012,07300003200,"Gaylord Hotel Cheekwood F,G,H",2800  Opryland DR,Nashville,TN,37214.0,"2800 Opryland DR
Nashville, TN 37214
(36.211694, -86.697639)"
791,17-25090,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/21/2017,07/13/2017,06416002700,CHIKUYO ASIAN CUISINE,4722  LEBANON PIKE,HERMITAGE,TN,37076.0,"4722 LEBANON PIKE
HERMITAGE, TN 37076
(36.215078, -86.59483)"
792,13-00946,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,10/03/2013,10/24/2013,09700000000001,Nashville Shores Marina,4001  Bell RD,Hermitage,TN,37076.0,"4001 Bell RD
Hermitage, TN 37076
(36.165229, -86.603207)"
793,17-25301,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/03/2017,12/20/2017,09306210100,NASHVILLE UNDERGROUND,105  BROADWAY,NASHVILLE,TN,37201.0,"105 BROADWAY
NASHVILLE, TN 37201
(36.162124, -86.774707)"
794,13-19688,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/31/2013,03/14/2013,09216013400,The Row,110  Lyle AVE,Nashville,TN,37203.0,"110 Lyle AVE
Nashville, TN 37203
(36.151248, -86.797952)"
795,12-19532,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/20/2012,10/11/2012,07300003200,Gaylord Hotel Belle Meade,2800  Opryland DR,Nashville,TN,37214.0,"2800 Opryland DR
Nashville, TN 37214
(36.211694, -86.697639)"
796,18-25478,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/16/2018,06/25/2018,09216010800,AMERIGO RESTAURANT,1920  WEST END AVE,NASHVILLE,TN,37203.0,"1920 WEST END AVE
NASHVILLE, TN 37203
(36.151476, -86.79912)"
797,16-01000,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,02/25/2016,03/11/2016,08212022600,Smith & Lentz Brewing Company,903  Main ST,Nashville,TN,37206.0,"903 Main ST
Nashville, TN 37206
(36.17624, -86.756496)"
798,94-16245,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/24/1994,07/13/1994,04305003900,Smeraldo's,701  Gallatin PIKE N,Madison,TN,37115.0,"701 Gallatin PIKE N
Madison, TN 37115
(36.270351, -86.710472)"
799,10-19072,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/29/2010,08/12/2010,07210019700,Las Maracas Mexican Restaurant,2704  Gallatin PIKE,Nashville,TN,37216.0,"2704 Gallatin PIKE
Nashville, TN 37216
(36.199451, -86.740706)"
800,16-20225,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/20/2015,01/28/2016,09601014300,Uncle Buds Catfish Chicken & S,2719  Old Lebanon PIKE,Nashville,TN,37214.0,"2719 Old Lebanon PIKE
Nashville, TN 37214
(36.169764, -86.667591)"
801,08-18939,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/25/2008,12/19/2008,07300001700,Romano's Macaroni Grill,517  Opry Mills DR,Nashville,TN,37214.0,"517 Opry Mills DR
Nashville, TN 37214
(36.20462, -86.695243)"
802,13-19804,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/10/2013,10/24/2013,03406000100,China Cottage Cafe Inc,1795  Gallatin PIKE N,Nashville,TN,37115.0,"1795 Gallatin PIKE N
Nashville, TN 37115
(36.296281, -86.699738)"
803,18-25409,ISSUED,BBPERMIT,SPECIAL,BB - Special Events,03/06/2018,08/09/2018,03402009500,BIKE NIGHT,271  GLEAVES ST,GOODLETTSVILLE,TN,37072.0,"271 GLEAVES ST
GOODLETTSVILLE, TN 37072"
804,12-19541,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/20/2012,10/11/2012,07300003200,Gaylord Hotel Conservatory Bar / Ravello,2800  Opryland DR,Nashville,TN,37214.0,"2800 Opryland DR
Nashville, TN 37214
(36.211694, -86.697639)"
805,17-25113,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/06/2017,09/22/2017,07210001400,THE FOX NASHVILLE,2905  GALLATIN PIKE,NASHVILLE,TN,37216.0,"2905 GALLATIN PIKE
NASHVILLE, TN 37216
(36.202679, -86.73897)"
806,18-25525,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/18/2018,07/26/2018,11908004900,DANIELA'S RESTAURANT,12 E THOMPSON LN,NASHVILLE,TN,37211.0,"12 E THOMPSON LN
NASHVILLE, TN 37211
(36.115871, -86.719482)"
807,12-19547,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/20/2012,10/11/2012,07300003200,Gaylord Hotel Delta Island D,2800  Opryland DR,Nashville,TN,37214.0,"2800 Opryland DR
Nashville, TN 37214
(36.211694, -86.697639)"
808,07-18620,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/12/2006,01/11/2007,09216001800,Loews Vanderbilt Hotel (Bar),2100  West End AVE,Nashville,TN,37203.0,"2100 West End AVE
Nashville, TN 37203
(36.150104, -86.801927)"
809,18-25341,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/11/2018,07/27/2018,08301015500,PEARL DIVER,1008  GALLATIN AVE,NASHVILLE,TN,37206.0,"1008 GALLATIN AVE
NASHVILLE, TN 37206
(36.188968, -86.746079)"
810,17-10392,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/01/2017,05/25/2017,13415000300,So Gong Dong Tofu House,1310  Antioch PIKE  A,Nashville,TN,37211.0,"1310 Antioch PIKE A
Nashville, TN 37211
(36.085349, -86.690568)"
811,18-25445,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/30/2018,06/14/2018,08601009300,HERMITAGE STRIKE & SPARE,3436  LEBANON PIKE,HERMITAGE,TN,37076.0,"3436 LEBANON PIKE
HERMITAGE, TN 37076
(36.189725, -86.627117)"
812,07-18724,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/13/2007,08/29/2007,08309008700,Pizzereal,203  11th ST N,Nashville,TN,37206.0,"203 11th ST N
Nashville, TN 37206
(36.178733, -86.749829)"
813,12-19417,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/07/2011,02/21/2012,16000019700,Four Points by Sheraton -Hotel,760  Old Hickory BLVD,Brentwood,TN,37027.0,"760 Old Hickory BLVD
Brentwood, TN 37027
(36.041224, -86.776165)"
814,18-25563,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/20/2018,07/12/2018,09111022000,RED BICYCLE,712  51ST AVE N,NASHVILLE,TN,37209.0,"712 51ST AVE N
NASHVILLE, TN 37209
(36.156203, -86.848781)"
815,06-18551,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/09/2006,10/11/2006,10402031500,BrickTop's,3000  West End AVE,Nashville,TN,37203.0,"3000 West End AVE
Nashville, TN 37203
(36.143515, -86.814406)"
816,18-25533,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/24/2018,06/14/2018,08215022200,SHONEY'S,110  INTERSTATE DR,NASHVILLE,TN,37213.0,"110 INTERSTATE DR
NASHVILLE, TN 37213
(36.170741, -86.768625)"
817,17-25255,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/27/2017,11/16/2017,09216016600,HATTIE B'S,112  19TH AVE S,NASHVILLE,TN,37203.0,"112 19TH AVE S
NASHVILLE, TN 37203
(36.1514, -86.796764)"
818,17-25295,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/26/2017,12/08/2017,09313010400,404 KITCHEN,507  12TH AVE S,NASHVILLE,TN,37203.0,"507 12TH AVE S
NASHVILLE, TN 37203
(36.152039, -86.78444)"
819,14-19854,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/04/2013,02/13/2014,10406031900,Chateau West,3408  West End AVE,Nashville,TN,37203.0,"3408 West End AVE
Nashville, TN 37203
(36.138532, -86.81998)"
820,10-19113,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/06/2010,02/01/2010,10412001100,Fido,1806  21st AVE S,Nashville,TN,37212.0,"1806 21st AVE S
Nashville, TN 37212
(36.136409, -86.800912)"
821,17-20458,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/30/2016,03/09/2017,08112002400,Slim & Husky's Pizza,911  Buchanan ST,Nashville,TN,37208.0,"911 Buchanan ST
Nashville, TN 37208
(36.180469, -86.802763)"
822,95-16490,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/04/1995,06/13/1995,09216009400,Las Palmas Mexican Restaurant,1905  Hayes ST,Nashville,TN,37203.0,"1905 Hayes ST
Nashville, TN 37203
(36.153083, -86.798623)"
823,19-25828,ISSUED,BBPERMIT,SPECIAL,BB - Special Events,01/07/2019,03/19/2019,09307005400,RAGIN' CAJUN CRAWFISH BOIL,592 S 1ST ST,NASHVILLE,TN,37213.0,"592 S 1ST ST
NASHVILLE, TN 37213
(36.163415, -86.768974)"
824,18-25556,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/15/2018,12/19/2018,09115038300,THE TWILIGHT TAVERN,5303  CHARLOTTE AVE,NASHVILLE,TN,37209.0,"5303 CHARLOTTE AVE
NASHVILLE, TN 37209
(36.151712, -86.851652)"
825,15-20050,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/05/2015,02/04/2015,10403025800,Flemings Prime Steakhouse,2525  West End AVE,Nashville,TN,37203.0,"2525 West End AVE
Nashville, TN 37203
(36.146641, -86.809074)"
826,18-25696,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/19/2018,01/10/2019,09115039300,HATHORNE,4708  CHARLOTTE AVE,NASHVILLE,TN,37209.0,"4708 CHARLOTTE AVE
NASHVILLE, TN 37209
(36.152104, -86.844395)"
827,16-20309,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/12/2016,07/28/2016,04411000500,Chopper's Grill,1200  Donelson AVE,Old Hickory,TN,37138.0,"1200 Donelson AVE
Old Hickory, TN 37138
(36.264115, -86.651109)"
828,94-16176,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/02/1993,02/01/1994,10403024100,The Overcup Oak Restaurant,2300  VANDERBILT PL,NASHVILLE,TN,37212.0,"2300 VANDERBILT PL
NASHVILLE, TN 37212
(36.146192, -86.804314)"
829,18-25656,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/21/2018,11/05/2018,18100025700,KOREA BBQ AND SUSHI,6688  NOLENSVILLE PIKE  102,BRENTWOOD,TN,37027.0,"6688 NOLENSVILLE PIKE 102
BRENTWOOD, TN 37027
(35.998589, -86.692329)"
831,14-19879,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/14/2014,04/24/2014,09306400100,Jimmy Buffett's Margaritaville,322  Broadway,Nashville,TN,37201.0,"322 Broadway
Nashville, TN 37201
(36.161111, -86.77701)"
832,12-19561,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/20/2012,10/11/2012,07300003200,Gaylord Hotel Jack Daniels,2800  Opryland DR,Nashville,TN,37214.0,"2800 Opryland DR
Nashville, TN 37214
(36.211694, -86.697639)"
833,18-25390,ISSUED,BBPERMIT,SPECIAL,BB - Special Events,02/21/2018,03/30/2018,08216009400,EAST NASHVILLE BEER FESTIVAL,700  WOODLAND ST,NASHVILLE,TN,37206.0,"700 WOODLAND ST
NASHVILLE, TN 37206
(36.17332, -86.760862)"
834,12-19596,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/24/2012,10/11/2012,07300003200,General Jackson Showboat,2800  OPRYLAND DR,NASHVILLE,TN,37214.0,"2800 OPRYLAND DR
NASHVILLE, TN 37214
(36.211694, -86.697639)"
835,12-19634,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/19/2012,12/06/2012,06200002900,Inn at Opryland,2401  Music Valley DR,Nashville,TN,37214.0,"2401 Music Valley DR
Nashville, TN 37214
(36.217777, -86.696238)"
836,15-20075,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/06/2014,04/02/2015,08209010000,Butchertown Hall,1416  4th AVE N,Nashville,TN,37208.0,"1416 4th AVE N
Nashville, TN 37208
(36.179757, -86.789342)"
837,09-19118,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/24/2009,11/16/2009,08600076400,Buffalo Wild Wings Grill & Bar,5215  Old Hickory BLVD,Hermitage,TN,37076.0,"5215 Old Hickory BLVD
Hermitage, TN 37076
(36.189254, -86.614667)"
838,13-19809,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/07/2013,10/24/2013,08600034700,Las Palmas Mexican Resturant,5104  Old Hickory BLVD,Hermitage,TN,37076.0,"5104 Old Hickory BLVD
Hermitage, TN 37076
(36.191777, -86.615658)"
839,14-19932,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/29/2014,07/10/2014,07207023100,Mitchell Delicatessen,1306  McGavock PIKE,Nashville,TN,37216.0,"1306 McGavock PIKE
Nashville, TN 37216
(36.204467, -86.725086)"
840,97-17250,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/27/1997,11/21/1997,09216016300,Midtown Cafe,102  19th AVE S,Nashville,TN,37203.0,"102 19th AVE S
Nashville, TN 37203
(36.151843, -86.797094)"
841,94-15894,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/31/1993,02/01/1994,09515001100,Courtyard by Marriott,2508  Elm Hill PIKE,Nashville,TN,37214.0,"2508 Elm Hill PIKE
Nashville, TN 37214
(36.15248, -86.682263)"
842,01-00559,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,01/09/2001,01/25/2001,06200000500,Nashville KOA,2626  Music Valley DR,Nashville,TN,37214.0,"2626 Music Valley DR
Nashville, TN 37214
(36.235396, -86.708029)"
843,12-19538,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/24/2012,10/11/2012,07300003200,Gaylord Hotel Cheekwood A-C,2800  Opryland DR,Nashville,TN,37214.0,"2800 Opryland DR
Nashville, TN 37214
(36.211694, -86.697639)"
844,16-20328,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/10/2016,08/25/2016,09310043700,Martins Bar-B-Que Joint,410  4th AVE S,Nashville,TN,37201.0,"410 4th AVE S
Nashville, TN 37201
(36.156579, -86.774303)"
845,07-18619,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/12/2006,01/11/2007,09216001800,Loews Vanderbilt (Restaurant),2100  West End AVE,Nashville,TN,37203.0,"2100 West End AVE
Nashville, TN 37203
(36.150104, -86.801927)"
846,17-20414,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/21/2016,01/27/2017,09306205800,Cerveza Jack's,135  2nd AVE N,Nashville,TN,37201.0,"135 2nd AVE N
Nashville, TN 37201
(36.162907, -86.775841)"
847,18-25464,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/11/2018,06/14/2018,09216025900,SLIDER HOUSE,1907A  DIVISION ST,NASHVILLE,TN,37203.0,"1907A DIVISION ST
NASHVILLE, TN 37203
(36.150024, -86.796503)"
848,09-18971,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/11/2009,03/26/2009,09507014800,Club-Hotel Nashville Inn & Sui,2435  Atrium WAY,Nashville,TN,37214.0,"2435 Atrium WAY
Nashville, TN 37214
(36.159633, -86.690189)"
849,15-20129,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/10/2015,06/25/2015,05108010300,Don Julio Mexican Restaurant,1019  Gallatin PIKE S,Madison,TN,37115.0,"1019 Gallatin PIKE S
Madison, TN 37115
(36.25004, -86.718965)"
